trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,0,1,1,yes ,yes ,0.71,0.2805998611163041,3.091296672821045,2.553528070449829,6,False,1,1
2,0,1,1,yes ,yes ,0.99,0.345287055258373,3.094175100326538,4.100369930267334,2,False,1,2
3,1,1,0,no ,no ,0.62,0.220763993374845,2.9619157314300537,6.232739210128784,4,False,1,3
4,0,1,0,no ,no ,0.39,0.2591731521697276,3.077363967895508,1.7806148529052734,9,False,1,4
5,0,1,1,yes ,yes ,0.99,0.11636964533371086,3.0335869789123535,5.328674077987671,3,False,1,5
6,0,0,1,yes ,yes ,0.99,0.17490505470427742,3.0772719383239746,1.8432209491729736,7,False,1,6
7,1,1,1,yes ,yes ,0.99,0.30201433478325557,3.2263381481170654,3.4038541316986084,5,False,1,7
8,1,1,0,no ,no ,0.41,0.23436686195958176,3.017163038253784,7.394114017486572,1,False,1,8
9,0,1,0,no ,no ,0.61,0.3716870706265235,2.9172449111938477,2.7909889221191406,7,False,1,9
10,0,0,1,yes ,yes ,0.99,0.1299907968648614,3.249260902404785,6.29149317741394,5,False,1,10
11,0,0,1,yes ,yes ,0.99,0.24295962877550228,3.1476352214813232,7.555900812149048,9,False,1,11
12,1,1,3,0,0,0,0,0,10.203893184661865,3,True,1,12
13,0,0,0,no ,no ,0.52,0.3028620350324437,3.0748343467712402,2.588738203048706,7,False,2,0
14,1,0,1,yes ,yes ,0.99,0.2334006676736288,3.2286317348480225,7.6363770961761475,9,False,2,1
15,1,1,1,yes ,yes ,0.99,0.13452926630832435,2.9639408588409424,2.073823928833008,1,False,2,2
16,0,1,0,no ,no ,0.4,0.200443988447705,2.9915480613708496,1.319957971572876,5,False,2,3
17,0,0,1,yes ,yes ,0.99,0.18450173128776728,3.080471992492676,7.851083040237427,7,False,2,4
18,0,0,1,yes ,yes ,0.99,0.1525729008560538,3.1457738876342773,1.9391510486602783,3,False,2,5
19,1,0,1,yes ,yes ,0.99,0.115743875307625,2.8887932300567627,7.586379766464233,1,False,2,6
20,1,0,0,no ,no ,0.71,0.3335983293783269,2.919404983520508,7.931992053985596,7,False,2,7
21,1,1,1,yes ,yes ,0.99,0.28568687134267945,3.2488858699798584,2.1313819885253906,5,False,2,8
22,1,0,1,yes ,yes ,0.99,0.3903524224652689,2.9316439628601074,1.9296221733093262,9,False,2,9
23,1,1,1,yes ,yes ,0.99,0.2883552721946847,3.0428028106689453,2.392580270767212,3,False,2,10
24,0,0,1,yes ,yes ,0.99,0.28573285961741324,2.9630510807037354,7.707488059997559,4,False,2,11
25,1,1,1,yes ,yes ,0.99,0.21573265508716813,2.956489086151123,2.086566925048828,8,False,2,12
26,0,1,1,yes ,yes ,0.99,0.15313169482403366,2.8936269283294678,2.5313570499420166,2,False,2,13
27,0,1,1,yes ,yes ,0.99,0.12474636892241574,2.8455686569213867,3.3709182739257812,4,False,2,14
28,1,0,1,yes ,yes ,0.99,0.3242839668586942,3.1950159072875977,2.694125175476074,8,False,2,15
29,1,0,1,yes ,yes ,0.99,0.39291027846084803,3.065869092941284,7.820394039154053,3,False,2,16
30,0,1,1,yes ,yes ,0.99,0.328898029254189,2.996630907058716,3.409834146499634,1,False,2,17
31,1,0,1,yes ,yes ,0.99,0.24791490459839047,3.246940851211548,3.499263048171997,5,False,2,18
32,1,0,0,no ,no ,0.51,0.20859466587731312,3.4145970344543457,1.9310548305511475,9,False,2,19
33,1,1,1,yes ,yes ,0.99,0.24866797861604836,3.040738105773926,3.558940887451172,7,False,2,20
34,0,0,1,yes ,yes ,0.99,0.33830940844950225,3.1127259731292725,3.5894551277160645,5,False,2,21
35,1,0,1,yes ,yes ,0.99,0.27497005551456305,3.3139750957489014,7.6741859912872314,1,False,2,22
36,0,0,1,yes ,yes ,0.99,0.2487249611880415,3.193964958190918,2.559135913848877,7,False,2,23
37,0,1,1,yes ,yes ,0.99,0.16995816859682372,3.207775115966797,2.4495158195495605,5,False,2,24
38,0,1,1,yes ,yes ,0.99,0.23104247425911595,3.363861083984375,1.703145980834961,9,False,2,25
39,0,0,1,yes ,yes ,0.99,0.15141330484817164,3.0589559078216553,7.8982322216033936,3,False,2,26
40,1,0,1,yes ,yes ,0.99,0.2721000476080514,3.3022210597991943,2.2485110759735107,1,False,2,27
41,1,0,1,yes ,yes ,0.99,0.23679605634680145,3.445000171661377,2.0624589920043945,9,False,2,28
42,0,1,1,yes ,yes ,0.99,0.21552307175439983,2.9211618900299072,3.7971272468566895,5,False,2,29
43,1,1,0,no ,no ,0.75,0.3424568083830581,6.346068859100342,6.209284782409668,7,False,2,30
44,0,1,1,yes ,yes ,0.99,0.36831307376230804,3.0315210819244385,3.7100870609283447,1,False,2,31
45,1,0,0,no ,no ,0.88,0.1420526633626781,7.048238039016724,1.8818891048431396,3,False,2,32
46,1,1,1,yes ,yes ,0.99,0.2878610793050346,2.9159390926361084,2.595521926879883,9,False,2,33
47,0,0,1,yes ,yes ,0.99,0.16730613532496502,3.052219867706299,7.9734251499176025,1,False,2,34
48,0,0,1,yes ,yes ,0.99,0.22993223375947314,3.481340169906616,2.5565643310546875,3,False,2,35
