trial,delta_stimulation,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed
1,0.0,0,no ,no ,0.77,2.46750807762146,0.3415747489742008,5.269387006759644,1,False
0,1.5,3,0,0,0.0,0.0,0.3415747489742008,10.322957992553713,9,True
0,1.5,3,0,0,0.0,0.0,0.3415747489742008,10.085457801818848,4,True
2,0.0,1,yes ,yes ,0.98,2.9145150184631348,0.2924108407597503,6.160971164703369,5,False
0,1.5,3,0,0,0.0,0.0,0.2924108407597503,10.048809051513672,6,True
1,0,0,no ,no ,0.74,2.3408350944519043,0.2043409864210314,2.1169960498809814,8,False
2,1.5,1,yes ,yes ,0.99,2.826112985610962,0.35764241259794904,5.674176931381226,5,False
0,1.5,3,0,0,0,0,0.35764241259794904,10.114660263061523,1,True
3,0,0,no ,no ,0.81,2.4962329864501953,0.3301162527428256,7.071700811386108,9,False
0,1.5,3,0,0,0,0,0.3301162527428256,10.312982082366943,7,True
