trial,delta_stimulation,delta_target,reversed,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed,n_block,within_block_counter
0,0.2,0.4,False,0,no ,no ,0.5,3.212043046951294,0.3296650578100376,0.7938029766082764,8,False,1,0
0,1.4,1.2,False,1,yes ,yes ,0.98,2.6178040504455566,0.2480040153530782,3.754101037979126,6,False,1,0
1,1.2,1.0,False,1,yes ,yes ,0.99,2.515688896179199,0.3436916354722439,4.638018131256104,2,False,1,1
1,0.4,0.4,True,1,yes ,yes ,0.98,2.7043099403381348,0.1029925629992033,1.9969170093536377,4,False,1,1
2,1.0,0.8,False,1,yes ,yes ,0.87,2.8221139907836914,0.2989448960343785,3.736637115478516,9,False,1,2
2,0.4,0.4,False,1,yes ,yes ,0.93,2.9680449962615967,0.2823831478079645,1.6242938041687012,3,False,1,2
3,0.8,0.6000000000000001,False,1,yes ,yes ,0.95,2.7093312740325928,0.3862196471611335,5.422197103500366,8,False,1,3
3,0.4,0.3,False,1,yes ,yes ,0.95,2.768695116043091,0.1110142281633427,1.8709900379180908,1,False,1,3
4,0.3,0.44,True,0,no ,no ,0.53,2.912599802017212,0.1971759218969686,0.9727389812469482,6,False,1,4
0,0.6000000000000001,0.6000000000000001,False,3,0,0,0.0,0.0,0.0,10.048378705978394,3,True,1,4
5,0.44,0.44,True,1,yes ,yes ,0.89,2.730034828186035,0.1178164051662787,1.4011657238006592,8,False,1,5
6,0.44,0.44,False,1,yes ,yes ,0.86,2.720625162124634,0.3559680982662344,1.268934965133667,9,False,1,6
7,0.44,0.3400000000000001,False,1,yes ,yes ,0.98,2.770870923995972,0.34255443514098,1.4089858531951904,5,False,1,7
8,0.3400000000000001,0.4800000000000001,True,0,no ,no ,0.67,2.590167760848999,0.3137239911924926,0.7770698070526123,1,False,1,8
9,0.4800000000000001,0.4800000000000001,True,1,yes ,yes ,0.93,2.725693941116333,0.2566090945949248,1.3224091529846191,4,False,1,9
4,0.6000000000000001,0.4000000000000001,False,1,yes ,yes ,0.98,2.6606929302215576,0.2065334246131706,1.545961856842041,2,False,1,5
10,0.4800000000000001,0.4800000000000001,False,1,yes ,yes ,0.77,2.745850086212158,0.2640852717232078,0.8930099010467529,6,False,1,10
5,0.4000000000000001,0.2,False,1,yes ,yes ,0.88,2.6969926357269287,0.2723289936002601,1.04603910446167,9,False,1,6
0,0.2,0.2,False,2,the no ,the no ,nan,10.000000953674316,0.3340794501494115,0.9868118762969972,8,False,1,7
6,0.2,0.3400000000000001,True,0,no ,no ,0.6,2.8328802585601807,0.3579694904390529,0.4377238750457763,1,False,1,8
7,0.3400000000000001,0.3400000000000001,True,1,yes ,yes ,0.84,2.791456937789917,0.3704028777476282,0.9483158588409424,2,False,1,9
8,0.3400000000000001,0.3400000000000001,False,1,yes ,yes ,0.85,2.970141887664795,0.1865267697270643,2.1664347648620605,7,False,1,10
9,0.3400000000000001,0.4800000000000001,True,0,no ,no ,0.56,2.704565048217773,0.3725218396681747,1.4025201797485352,3,False,1,11
10,0.4800000000000001,0.4800000000000001,True,1,yes ,yes ,0.99,3.166775941848755,0.287955782117204,1.7492341995239258,8,False,1,12
11,0.4800000000000001,0.3800000000000001,False,1,yes ,yes ,0.87,2.7744600772857666,0.1835873150533958,3.0527501106262207,5,False,1,11
12,0.3800000000000001,0.3800000000000001,False,1,yes ,yes ,0.99,3.085975170135498,0.3262432746651716,1.2131919860839844,2,False,1,12
11,0.4800000000000001,0.6200000000000001,True,0,no ,no ,0.75,2.7525031566619877,0.1658806295407733,0.6233878135681152,1,False,1,13
12,0.6200000000000001,0.6200000000000001,True,1,yes ,yes ,0.99,2.8049049377441406,0.3371607045084372,1.896979808807373,6,False,1,14
13,0.3800000000000001,0.3800000000000001,False,1,yes ,yes ,0.99,2.951138973236084,0.3891528170590216,1.568680763244629,5,False,1,13
13,0.6200000000000001,0.6200000000000001,False,1,yes ,yes ,0.99,2.79443621635437,0.3068564687907167,3.5504441261291504,9,False,1,15
14,0.6200000000000001,0.5200000000000001,False,1,yes ,yes ,0.98,2.9576640129089355,0.1888232890842028,4.594936847686768,8,False,1,16
14,0.3800000000000001,0.5200000000000001,True,0,no ,no ,0.63,2.644406080245972,0.1461380457034746,1.5723230838775637,6,False,1,14
15,0.5200000000000001,0.5200000000000001,True,1,yes ,yes ,0.99,2.924067735671997,0.3723976836179923,4.179836988449097,3,False,1,15
15,0.5200000000000001,0.5200000000000001,False,1,yes ,yes ,0.92,2.687504768371582,0.1086629648764318,1.390167236328125,9,False,1,17
16,0.5200000000000001,0.5200000000000001,False,1,yes ,yes ,0.98,2.8711371421813965,0.1354013467800686,6.266420841217041,1,False,1,18
17,0.5200000000000001,0.4200000000000001,False,1,yes ,yes ,0.99,2.779885053634644,0.3558359336158527,1.6412749290466309,6,False,1,19
16,0.5200000000000001,0.6600000000000001,True,0,no ,no ,0.63,2.68813705444336,0.1523148137036401,2.6415510177612305,8,False,1,16
17,0.6600000000000001,0.8000000000000002,False,0,no ,no ,0.58,2.581321954727173,0.3923882191145683,0.4511880874633789,4,False,1,17
18,0.8000000000000002,0.8000000000000002,True,1,yes ,yes ,0.98,2.9780821800231934,0.1059320923115664,8.692997217178345,5,False,1,18
19,0.8000000000000002,0.8000000000000002,False,1,yes ,yes ,0.98,2.855640172958374,0.1359311632235297,2.763214111328125,6,False,1,19
18,0.4200000000000001,0.4200000000000001,False,1,yes ,yes ,0.98,3.0407660007476807,0.1230684662230644,6.546893119812012,2,False,1,20
0,0.8000000000000002,0.8000000000000002,False,3,0,0,0.0,0.0,0.0,10.233030080795288,4,True,1,20
20,0.8000000000000002,0.7000000000000002,False,1,yes ,yes ,0.99,2.6665730476379395,0.2503254164088722,1.3680808544158936,7,False,1,21
19,0.42000000000000015,0.42000000000000015,False,1,yes ,yes ,0.94,2.724663019180298,0.1154327240648864,0.40990281105041504,8,False,1,21
20,0.42000000000000015,0.3200000000000002,False,1,yes ,yes ,0.99,2.726158857345581,0.18850731741695897,0.8373281955718994,2,False,1,22
21,0.7000000000000002,0.7000000000000002,False,1,yes ,yes ,0.99,2.803196907043457,0.24991844210073572,1.0938918590545654,5,False,1,22
22,0.7000000000000002,0.7000000000000002,False,1,yes ,yes ,0.98,2.7686519622802734,0.20566152016253636,1.3744356632232666,7,False,1,23
0,0.7000000000000002,0.7000000000000002,False,3,0,0,0,0,0,1.087980031967163,6,True,1,24
21,0.3200000000000002,0.3200000000000002,False,1,yes ,yes ,0.95,2.823491096496582,0.19316666602989135,1.2583389282226562,4,False,1,23
23,0.7000000000000002,0.6000000000000002,False,1,yes ,yes ,0.94,2.8851089477539062,0.27446934682682056,1.2289848327636719,8,False,1,25
22,0.3200000000000002,0.3200000000000002,False,1,yes ,yes ,0.92,3.138840913772583,0.23045750665802858,1.1369860172271729,1,False,1,24
24,0.6000000000000002,0.6000000000000002,False,1,yes ,yes ,0.93,2.910068988800049,0.231607258509063,0.7260286808013916,7,False,1,26
0,0.3200000000000002,0.3200000000000002,False,3,0,0,0,0,0,1.2058870792388916,3,True,1,25
23,0.3200000000000002,0.22000000000000017,False,1,yes ,yes ,0.99,2.9362738132476807,0.26611131500658913,0.8969941139221191,5,False,1,26
0,0.6000000000000002,0.6000000000000002,False,3,0,0,0,0,0,1.0855200290679932,6,True,1,27
25,0.6000000000000002,0.6000000000000002,False,1,the ,the ,0.85,2.8100290298461914,0.31764325195936005,0.952998161315918,2,False,1,28
0,0.22000000000000017,0.22000000000000017,False,3,0,0,0,0,0,0.37457704544067383,8,True,1,27
24,0.22000000000000017,0.3600000000000002,True,0,no ,no ,0.38,2.7129359245300293,0.24118917976232518,0.6773700714111328,7,False,1,28
26,0.6000000000000002,0.7400000000000002,True,0,no ,no ,0.32,2.749073028564453,0.3057752728774975,0.819342851638794,6,False,1,29
25,0.3600000000000002,0.3600000000000002,True,1,yes ,yes ,0.95,2.8513059616088867,0.36875043349946,1.0655338764190674,2,False,1,29
26,0.3600000000000002,0.5000000000000002,True,0,no ,no ,0.8,2.680276870727539,0.15563455549100824,1.091031789779663,1,False,1,30
27,0.5000000000000002,0.5000000000000002,True,1,yes ,yes ,0.91,2.7717952728271484,0.3487424436136155,1.1439831256866455,8,False,1,31
28,0.5000000000000002,0.5000000000000002,False,1,yes ,yes ,0.81,2.8149991035461426,0.26471587044472333,1.033689260482788,9,False,1,32
27,0.7400000000000002,0.7400000000000002,True,1,yes ,yes ,0.86,2.85367488861084,0.14819026022495665,1.6021249294281006,4,False,1,30
29,0.5000000000000002,0.40000000000000024,False,1,yes ,yes ,0.94,2.702049970626831,0.21098248619951346,0.9661400318145752,5,False,1,33
30,0.40000000000000024,0.40000000000000024,False,1,yes ,yes ,0.78,3.011376142501831,0.36174167737879737,1.1558852195739746,1,False,1,34
28,0.7400000000000002,0.7400000000000002,False,1,yes ,yes ,0.98,2.9643771648406982,0.13198127992008005,1.6162629127502441,2,False,1,31
31,0.40000000000000024,0.40000000000000024,False,1,yes ,yes ,0.91,3.048985719680786,0.22564138676587148,0.9552640914916992,9,False,1,35
29,0.7400000000000002,0.8800000000000002,True,0,no ,no ,0.51,2.7743759155273438,0.12920824150127305,1.454272985458374,5,False,1,32
0,0.40000000000000024,0.40000000000000024,False,3,0,0,0,0,0,0.3834991455078125,7,True,1,36
32,0.40000000000000024,0.30000000000000027,False,1,yes ,yes ,0.9,2.833901882171631,0.38546564597042,1.525843858718872,1,False,1,37
33,0.30000000000000027,0.30000000000000027,False,1,yes ,yes ,0.66,2.964573860168457,0.27612678032595017,0.9020607471466064,2,False,1,38
30,0.8800000000000002,0.8800000000000002,True,1,yes ,yes ,0.94,2.881787061691284,0.2666654977766566,1.4335331916809082,9,False,1,33
34,0.30000000000000027,0.30000000000000027,False,1,yes ,yes ,0.78,2.947632074356079,0.39054797917846773,1.0605061054229736,4,False,1,39
35,0.30000000000000027,0.20000000000000026,False,1,yes ,yes ,0.94,2.786365032196045,0.30965453266318255,1.2828741073608398,8,False,1,40
36,0.20000000000000026,0.20000000000000026,False,1,yes ,yes ,0.77,3.0169520378112793,0.31857673965987754,1.4046168327331543,3,False,1,41
37,0.20000000000000026,0.20000000000000026,False,1,yes ,yes ,0.98,3.0536530017852783,0.24799390851389638,1.3961472511291504,1,False,1,42
38,0.20000000000000026,0.10000000000000026,False,1,yes ,yes ,0.95,2.9732437133789062,0.25935858749053664,1.3167049884796143,2,False,1,43
39,0.2,0.10000000000000026,False,1,yes ,yes ,0.98,2.98942494392395,0.28205378473818277,0.9794449806213379,5,False,1,44
40,0.2,0.10000000000000026,False,1,yes ,yes ,0.63,2.9434428215026855,0.22388132173733089,1.0129029750823975,8,False,1,45
41,0.2,0.24000000000000027,True,0,no ,no ,0.39,2.964538812637329,0.19666478267152748,0.672083854675293,4,False,1,46
42,0.24000000000000027,0.3800000000000003,False,0,no ,no ,0.67,2.6758408546447754,0.26583530822538926,1.194523811340332,1,False,1,47
43,0.3800000000000003,0.3800000000000003,True,1,yes ,yes ,0.98,2.917757987976074,0.1062093525096312,1.4668760299682617,3,False,1,48
44,0.3800000000000003,0.3800000000000003,False,1,yes ,yes ,0.95,3.0456948280334473,0.2621027263719542,0.7416448593139648,7,False,1,49
45,0.3800000000000003,0.28000000000000025,False,1,yes ,yes ,0.92,2.8502309322357178,0.11432005550342922,0.9804401397705078,6,False,1,50
0,0.28000000000000025,0.28000000000000025,False,3,0,0,0,0,0,0.4810492992401123,5,True,1,51
