trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,0,1,0,no ,no ,0.54,0.2585307011866377,2.751504898071289,2.4720582962036133,8,False,1,1
2,1,0,0,nope ,nope ,0.33,0.3640418845133213,2.7547760009765625,2.6741130352020264,4,False,1,2
3,0,1,1,yes ,yes ,0.99,0.1272806996375626,2.9165000915527344,3.027981758117676,2,False,1,3
4,1,0,0,no ,no ,0.76,0.3618512718977226,2.799206256866455,2.9905829429626465,8,False,1,4
5,1,0,0,no ,no ,0.76,0.1847264130521905,2.8054909706115723,3.384885787963867,6,False,1,5
6,1,0,0,no ,no ,0.67,0.1714548109426588,2.6589529514312744,3.309105157852173,1,False,1,6
7,0,1,1,yes ,yes ,0.99,0.1320526687420271,3.3297739028930664,7.192784070968628,7,False,1,7
8,0,0,0,no ,no ,0.56,0.1877547657036244,2.736743927001953,2.827832698822021,6,False,1,8
9,1,0,1,yes ,yes ,0.99,0.3860163157585708,2.872555017471313,2.6259000301361084,2,False,1,9
10,1,0,0,no ,no ,0.71,0.1815498707570479,2.724702835083008,3.3314340114593506,4,False,1,10
11,1,0,0,no ,no ,0.74,0.240603083577484,2.853368043899536,2.9184460639953613,6,False,1,11
12,0,1,1,yes ,yes ,0.99,0.2707222596917413,2.988986015319824,4.815547943115234,2,False,1,12
13,0,1,1,yes ,yes ,0.99,0.2289666468299492,2.8951680660247803,2.6777772903442383,8,False,1,13
14,1,1,0,now ,now ,0.35,0.183028856018571,2.7724499702453613,5.84994912147522,4,False,1,14
15,0,0,0,now ,now ,0.34,0.3350612435151387,3.01449990272522,3.3603320121765137,3,False,1,15
16,1,0,0,now ,now ,0.4,0.3189527901643305,2.839585065841675,3.656522035598755,9,False,1,16
17,1,1,0,now ,now ,0.36,0.1226436002431597,2.6991219520568848,6.431823968887329,5,False,1,17
18,1,1,1,yes ,yes ,0.99,0.22108069599302,2.892849922180176,9.568375825881958,3,False,1,18
19,1,1,1,yes ,yes ,0.99,0.3793626263827583,2.8245298862457275,6.981337785720825,9,False,1,19
20,1,1,1,yes ,yes ,0.99,0.1592691546305814,2.989548921585083,10.031331062316896,5,False,1,20
21,0,0,1,yes ,yes ,0.99,0.3141757552720399,2.858565092086792,4.879004001617432,1,False,2,0
22,1,1,1,yes ,yes ,0.99,0.2159566994926138,3.01372504234314,1.1495919227600098,3,False,2,1
23,1,1,3,0,0,0.0,0.0,0.0,1.4691717624664309,5,True,2,2
24,1,1,1,yes ,yes ,0.96,0.3109947846326151,2.9181010723114014,1.1289989948272705,7,False,2,3
25,1,1,1,yes ,yes ,0.99,0.3354100211583553,2.951601028442383,1.288985013961792,9,False,2,4
26,0,1,3,0,0,0.0,0.0,0.0,10.149600982666016,1,True,2,5
27,0,1,1,yes ,yes ,0.99,0.2965079317854969,2.980279922485352,1.323836088180542,5,False,2,6
28,1,1,1,yes ,yes ,0.99,0.147011863428569,2.8814620971679688,2.1980271339416504,7,False,2,7
29,0,1,1,yes ,yes ,0.99,0.3771504904684166,3.080159902572632,1.1591498851776123,9,False,2,8
30,1,0,0,no ,no ,0.46,0.365752490512149,2.856276035308838,1.635936975479126,3,False,2,9
31,1,1,3,0,0,0.0,0.0,0.0,10.153418064117432,1,True,2,10
32,0,0,0,no ,no ,0.8,0.22916603617973264,2.6727516651153564,4.7499470710754395,5,False,1,1
33,1,0,1,yes ,yes ,0.99,0.19776511853270107,3.059196949005127,4.774458169937134,7,False,1,2
34,1,1,3,0,0,0,0,0,1.724294900894165,3,True,1,3
35,0,1,1,yes ,yes ,0.99,0.1763279456589732,2.9589362144470215,1.0056402683258057,5,False,1,4
36,0,0,0,no ,no ,0.69,0.3559725306622603,2.7734808921813965,1.1876652240753174,9,False,1,5
37,0,0,0,no ,no ,0.44,0.34070375587758406,2.850503921508789,4.817145824432373,3,False,1,6
38,1,1,0,no ,no ,0.81,0.265987141445003,3.155251979827881,1.583099126815796,5,False,1,7
39,1,0,0,no ,no ,0.59,0.37045698805977656,2.935281276702881,4.8062169551849365,1,False,1,8
40,1,1,1,yes ,yes ,0.98,0.1786057684673577,2.8482160568237305,1.7469630241394043,3,False,1,9
41,0,0,1,yes ,yes ,0.99,0.17579854519215438,3.1069908142089844,4.737855911254883,7,False,1,10
42,0,1,1,yes ,yes ,0.99,0.3423499686306428,2.9751060009002686,1.176866054534912,9,False,1,11
43,0,0,1,yes ,yes ,0.99,0.11151463962305329,3.203552007675171,1.2874131202697754,3,False,1,12
44,1,1,1,yes ,yes ,0.99,0.15120776120553991,3.08819580078125,1.1831870079040527,5,False,1,13
45,1,1,0,no ,no ,0.7,0.3269906561157485,3.069556951522827,1.593022108078003,9,False,1,14
46,1,0,0,no ,no ,0.66,0.2178173785227855,2.8070101737976074,1.2020621299743652,1,False,1,15
47,0,1,1,yes ,yes ,0.99,0.24679681744131532,3.253682851791382,1.3477201461791992,7,False,1,16
48,1,0,0,no ,no ,0.81,0.14945805161129558,2.949971914291382,4.7920591831207275,5,False,1,17
49,0,1,0,no ,no ,0.56,0.17567835376263638,2.991129159927368,1.6845240592956543,9,False,1,18
50,0,0,1,yes ,yes ,0.98,0.30088411370067736,2.8685240745544434,1.6201043128967285,3,False,1,19
51,0,0,1,yes ,yes ,0.99,0.30214791318887635,3.06691312789917,1.694221019744873,4,False,1,20
52,1,0,1,yes ,yes ,0.99,0.17424396405718812,3.2530200481414795,1.1662251949310303,9,False,1,21
53,0,1,1,yes ,yes ,0.99,0.1980640136125879,3.049321174621582,4.088312149047852,2,False,1,22
54,0,1,1,yes ,yes ,0.99,0.31324910108390397,3.107671022415161,2.800075054168701,7,False,1,23
55,0,1,0,no ,no ,0.79,0.30051521784050056,3.00952410697937,1.5602202415466309,9,False,1,24
56,1,1,0,no ,no ,0.7,0.14735707195660247,2.864284038543701,1.6278986930847168,1,False,1,25
57,0,1,1,yes ,yes ,0.99,0.16312297548672305,3.1342239379882812,1.0721988677978516,5,False,1,26
58,0,0,0,no ,no ,0.79,0.310165510017135,2.820690870285034,1.7865800857543945,3,False,1,27
59,1,1,1,yes ,yes ,0.99,0.395891877679885,2.799690008163452,2.289983034133911,7,False,1,28
60,1,1,0,no ,no ,0.8,0.34559624035377134,2.7575039863586426,1.89316725730896,1,False,1,29
61,1,0,1,yes ,yes ,0.99,0.20120244237974524,2.9539008140563965,1.7973310947418213,9,False,1,30
62,0,0,0,no ,no ,0.83,0.21764739488855508,2.938732862472534,1.8018739223480225,7,False,1,31
63,1,0,0,nope ,nope ,0.21,0.21878158279971455,2.821890115737915,1.2449231147766113,2,False,1,32
64,0,0,1,yes ,yes ,0.99,0.191300112331444,3.1072888374328613,4.125637054443359,6,False,1,33
65,1,0,0,no ,no ,0.78,0.39699407909095064,3.094326972961426,1.7693440914154053,8,False,1,34
66,1,0,1,yes ,yes ,0.99,0.22712389246656425,2.99283504486084,5.006205797195435,2,False,1,35
67,0,0,0,no ,no ,0.85,0.1729522055742958,2.7921526432037354,1.2265839576721191,4,False,1,36
68,1,1,0,no ,no ,0.79,0.28427534256982057,3.0454540252685547,3.332782030105591,9,False,1,37
69,0,1,1,yes ,yes ,0.99,0.17139931804324549,2.9809799194335938,2.9943959712982178,3,False,1,38
70,0,0,0,no ,no ,0.72,0.2936830416295596,2.9106500148773193,1.5514278411865234,4,False,1,39
71,0,0,0,no ,no ,0.75,0.33625423214640643,3.348737955093384,4.813377857208252,8,False,1,40
72,1,1,1,yes ,yes ,0.99,0.11304401817623455,2.850944995880127,3.9862289428710938,6,False,1,41
73,1,1,0,no ,no ,0.63,0.31598978500838715,2.7651519775390625,2.390923023223877,1,False,1,42
74,0,0,1,yes ,yes ,0.97,0.3416681690990181,2.882389783859253,1.600438117980957,8,False,1,43
75,0,1,1,yes ,yes ,0.99,0.31125623557508386,3.3019118309020996,2.071654796600342,6,False,1,44
76,1,1,0,no ,no ,0.77,0.19057748805944952,2.8502910137176514,5.227914094924927,2,False,1,45
77,0,1,0,no ,no ,0.56,0.15236115096391678,3.0574917793273926,2.8678781986236572,4,False,1,46
78,0,0,0,no ,no ,0.7,0.13799862476260205,2.875699996948242,1.8480141162872314,6,False,1,47
79,1,0,0,no ,no ,0.79,0.21190332833697761,2.8905327320098877,1.825669765472412,8,False,1,48
80,1,0,1,yes ,yes ,0.99,0.17121677501904864,3.0040860176086426,2.813264846801758,1,False,2,0
81,1,1,1,yes ,yes ,0.99,0.10062019096240173,3.0227909088134766,2.0659799575805664,6,False,2,1
82,0,0,0,no ,no ,0.8,0.18102872996180686,2.903571844100952,4.817662954330444,8,False,2,2
83,0,0,0,no ,no ,0.84,0.22141946117153366,2.9553868770599365,1.1309499740600586,2,False,2,3
84,1,0,1,yes ,yes ,0.98,0.15344305080791987,3.0861270427703857,2.8661692142486572,4,False,2,4
85,0,0,0,nope ,nope ,0.27,0.22925293139474692,2.9425101280212402,2.4362423419952393,8,False,2,5
86,0,1,1,yes ,yes ,0.99,0.35063330243526947,2.962447166442871,2.6090810298919678,6,False,2,6
87,1,0,0,no ,no ,0.84,0.36728390277577816,2.6572201251983643,2.275033712387085,4,False,2,7
88,0,0,0,no ,no ,0.64,0.36784434618173434,2.892683744430542,2.338639974594116,8,False,2,8
89,1,1,0,no ,no ,0.59,0.1963791289844813,3.033267021179199,0.7078878879547119,2,False,2,9
90,1,1,0,no ,no ,0.84,0.2017241299485844,2.854732036590576,1.941741943359375,4,False,2,10
91,1,1,0,no ,no ,0.86,0.35045386553476354,3.0579288005828857,1.7908070087432861,8,False,2,11
92,1,1,1,yes ,yes ,0.99,0.14774224708718142,3.183544874191284,9.329308271408081,2,False,2,12
93,0,1,1,yes ,yes ,0.99,0.12505046021978605,2.9807331562042236,2.764112949371338,4,False,2,13
94,1,0,0,no ,no ,0.8,0.1616565519460084,2.8836851119995117,2.7012171745300293,6,False,2,14
95,0,1,0,no ,no ,0.82,0.33222125468053076,2.964508056640625,4.939054727554321,2,False,2,15
96,0,1,1,yes ,yes ,0.99,0.16914111483720115,2.9441001415252686,2.918761968612671,8,False,2,16
97,0,1,1,yes ,yes ,0.99,0.38433422026696773,3.034806966781616,1.7407591342926025,4,False,2,17
98,1,0,0,no ,no ,0.71,0.39910705511662037,2.752380847930908,2.101148843765259,6,False,2,18
99,1,1,0,no ,no ,0.77,0.1661061675301566,2.8339877128601074,6.448379039764404,2,False,2,19
100,0,0,0,no ,no ,0.73,0.375817064834539,2.747347831726074,1.6688108444213867,7,False,2,20
101,0,0,0,no ,no ,0.68,0.3037299421484556,2.853275775909424,1.9002208709716797,6,False,2,21
102,0,0,0,no ,no ,0.75,0.35526647567145175,3.105037212371826,2.349987268447876,1,False,2,22
103,0,0,0,no ,no ,0.81,0.21626181390160173,2.9957330226898193,1.6644227504730225,7,False,2,23
104,1,1,1,yes ,yes ,0.99,0.3484464143275057,3.0756590366363525,5.944458961486816,3,False,2,24
105,0,1,1,yes ,yes ,0.99,0.11057235252492524,2.958271026611328,6.403298616409302,5,False,2,25
106,0,0,1,yes ,yes ,0.99,0.2814923225226535,2.7993600368499756,4.183027982711792,1,False,2,26
107,1,0,1,yes ,yes ,0.99,0.3012268992732342,3.0139408111572266,2.7034740447998047,7,False,2,27
108,1,0,1,yes ,yes ,0.99,0.14871306938862666,2.8933298587799072,2.5750808715820312,5,False,2,28
109,0,1,1,yes ,yes ,0.99,0.3110086882591326,3.0904719829559326,4.151983022689819,6,False,2,29
110,1,0,0,no ,no ,0.72,0.12734602723708996,2.875572919845581,2.6316418647766113,5,False,2,30
111,0,1,1,yes ,yes ,0.99,0.14945335833205783,3.050973892211914,2.9603538513183594,4,False,2,31
112,0,1,1,yes ,yes ,0.99,0.3564500925147246,3.085905075073242,6.475110292434692,8,False,2,32
