trial,interactor,cooling,response,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,2,1,1,0.2596755077736682,0.48436498641967773,1.3469350337982178,1,False,1,1
2,1,1,1,0.22688467284632613,1.686955213546753,1.0385510921478271,9,False,1,2
3,0,0,0,0.18999635315387287,1.6545078754425049,1.334486961364746,3,False,1,3
4,2,0,0,0.2648138367474082,0.8659539222717285,1.4764091968536377,5,False,1,4
5,0,0,0,0.1722112792308075,0.9322328567504883,1.3942370414733887,7,False,1,5
6,0,1,1,0.3961333673418198,0.3437919616699219,1.9594428539276123,1,False,1,6
7,2,0,0,0.15002487253986552,0.16013407707214355,1.3228139877319336,5,False,1,7
8,1,1,1,0.1770877837121494,1.1733241081237793,1.3772690296173096,3,False,1,8
9,1,1,1,0.27298355537606794,0.4627377986907959,1.5700500011444092,9,False,1,9
10,2,1,0,0.1905257006545187,0.41869497299194336,2.380648136138916,7,False,1,10
11,2,0,0,0.1265527745293667,0.5036201477050781,1.6331672668457031,5,False,1,11
12,2,0,0,0.3904321043066198,0.9847898483276367,2.1579220294952393,3,False,1,12
13,0,1,1,0.373034582241209,0.9042448997497559,2.734466075897217,1,False,1,13
14,0,1,1,0.3149884302347866,1.722440242767334,1.5407328605651855,5,False,1,14
15,2,0,0,0.3514779095126689,0.9238801002502441,1.6700031757354736,7,False,1,15
16,2,1,0,0.20602741681948925,0.2869102954864502,1.0636143684387207,9,False,1,16
17,0,1,1,0.14050717659149947,0.907660961151123,2.6689960956573486,3,False,1,17
18,0,0,0,0.13576799921968905,0.5255630016326904,1.369185209274292,7,False,1,18
19,2,0,0,0.22345383991134743,0.592634916305542,2.7351160049438477,5,False,1,19
20,2,1,0,0.38663376763270285,0.81461501121521,1.8122448921203613,9,False,1,20
21,0,0,0,0.20645092566245354,0.8964402675628662,1.50229811668396,1,False,1,21
22,2,0,0,0.10341908048211329,0.9669640064239502,2.859199047088623,5,False,1,22
23,0,0,0,0.3083466003984833,0.5614371299743652,1.3055176734924316,7,False,1,23
24,1,0,0,0.2254816975916833,0.5313758850097656,1.8862359523773193,1,False,1,24
25,0,0,0,0.3450532236434125,0.7645642757415771,1.4033162593841553,6,False,1,25
26,2,0,0,0.21022411741140273,0.5804378986358643,0.9901509284973145,8,False,1,26
27,1,1,0,0.31827010111348053,1.4728398323059082,3.485269069671631,2,False,1,27
28,2,0,0,0.12320297448226311,1.2523882389068604,1.4414269924163818,4,False,1,28
29,0,1,1,0.25900744609153503,0.4886648654937744,1.9370801448822021,6,False,1,29
30,1,0,0,0.38709946206749735,0.5731480121612549,1.320603847503662,8,False,1,30
31,1,1,1,0.2733853329938321,0.7160320281982422,4.3506481647491455,4,False,1,31
32,2,0,0,0.26364228562596503,0.7720272541046143,2.585930109024048,2,False,1,32
33,1,0,0,0.14314468601200037,0.6560020446777344,1.4931762218475342,9,False,1,33
34,2,0,0,0.24537858146955432,0.5200040340423584,2.364609956741333,4,False,1,34
35,0,1,1,0.1632920676421078,0.4415860176086426,2.5058751106262207,3,False,1,35
36,0,1,0,0.3810870883703904,0.8603200912475586,3.000444173812866,8,False,1,36
37,1,1,1,0.3835043933001907,0.46267080307006836,4.763084173202515,4,False,1,37
38,0,0,0,0.2587621609699679,0.54852294921875,1.3347959518432617,2,False,1,38
39,1,1,1,0.3661641261414291,0.4285402297973633,4.373849153518677,6,False,1,39
40,1,1,0,0.19952191442120543,1.0882160663604736,3.4301419258117676,8,False,1,40
41,2,1,0,0.36682162711056565,1.653775930404663,9.572896003723145,2,False,1,41
42,2,1,0,0.2680271562923029,0.5585222244262695,7.908843994140625,4,False,1,42
43,2,0,0,0.22758167905484983,0.3861980438232422,1.4667401313781738,8,False,1,43
44,1,0,0,0.17352665689865604,1.5428390502929688,1.4364140033721924,2,False,1,44
45,2,0,0,0.14131094629671798,1.0945019721984863,1.825861930847168,6,False,1,45
46,2,1,1,0.26384447345955353,0.7542707920074463,3.636538028717041,7,False,1,46
47,0,1,0,0.2759371067360234,1.5686070919036865,6.2411839962005615,2,False,1,47
48,1,1,1,0.3444226368742441,0.7869911193847656,5.461126327514648,6,False,1,48
49,1,0,0,0.21371968248321663,1.3588190078735352,2.6371419429779053,8,False,1,49
50,2,0,0,0.2538068920188171,0.47063612937927246,2.781744956970215,4,False,1,50
51,0,1,1,0.39087107811243804,0.5319349765777588,4.433542013168335,3,False,1,51
52,0,0,0,0.25965467212822424,1.579246997833252,2.7556638717651367,8,False,1,52
53,2,1,0,0.37898855337282056,0.686985969543457,4.956446170806885,4,False,1,53
54,2,1,1,0.2511395262683041,0.9343490600585938,6.210722208023071,6,False,1,54
