delta_staircases,delta_mean,descending,ascending
"[1.19, 0.9067]",-1.0483,1.19,0.9067
"[1.1317, 0.745]",-0.9383,1.1317,0.745
"[1.0917, 0.8383]",-0.965,1.0917,0.8383
"[1.1917, 1.0233]",-1.1075,1.1917,1.0233
"[0.5233, 0.5717]",-0.5475,0.5233,0.5717
"[1.1283, 0.6767]",-0.9025,1.1283,0.6767
"[1.2, 1.0283]",-1.1142,1.2,1.0283
"[1.105, 0.6283]",-0.8667,1.105,0.6283
"[0.7067, 0.46]",-0.5833,0.7067,0.46
"[0.8733, 0.4583]",-0.6658,0.8733,0.4583
"[0.6683, 0.5717]",-0.62,0.6683,0.5717
"[0.2, 0.3]",-0.25,0.2,0.3
